,angel,convertible_note,debt_financing,equity_crowdfunding,grant,non_equity_assistance,post_ipo_debt,post_ipo_equity,private_equity,product_crowdfunding,secondary_market,seed,undisclosed,venture
736,,,,,,,,,,,,11176,,
737,,,,,,,,,,,,206765,,
738,,,,,,,,,,,,16764,,
739,,,,,,,,,,,,,,
740,,,,,,,,,,,,,,3000000
741,,,,,,,,,,,,,,200000000
742,,,,,,,,,,,,,,
743,,,,,,,,,,,,,,20000000
744,,,,,,,,,,,,,,10000000
745,,,,,,,,736000000,,,,,,
746,,,,,,,,,,,,,,5000000
747,,,,,,,,,,,,,,5780000
748,,,,,,,,,,,,,,15000000
749,,,,,,,,,,,,,,55000000
750,,,,,,,,,,,,,,60000000
751,,,,,,,,,,,,,,300000000
752,,,,,,,,,,,,,,10000000
753,,,,,,,,,,,,,,
